"Suscriptor","Lect_Actual","Causa_des","Observacion_des","Fecha_de_ejecucion"
"11800","705","","","2024-05-29 09:04:03"
"11490","4795","","","2024-05-29 07:05:11"
"11480","3980","","","2024-05-29 07:05:51"
"11470","4089","","","2024-05-29 07:08:05"
"11590","632","","","2024-05-29 07:09:05"
"11460","1165","","","2024-05-29 07:11:30"
"11592","328","","","2024-05-29 07:34:27"
"11595","2145","","","2024-05-29 07:35:49"
"11599","413","","","2024-05-29 07:37:51"
"11600","1738","","","2024-05-29 07:38:33"
"11605","670","","MEDIDOR PARADO (DAÑO INTERNO)-33","2024-05-29 07:39:42"
"11608","105","","30","2024-05-29 07:44:56"
"11612","781","","","2024-05-29 07:45:58"
"11615","1680","","RESIDENTE OCASIONAL-16","2024-05-29 07:48:14"
"11618","1193","","","2024-05-29 07:49:01"
"11620","1954","","","2024-05-29 07:51:45"
"11621","2","","30","2024-05-29 07:53:06"
"11624","642","","RESIDENTE OCASIONAL-16","2024-05-29 07:57:47"
"11625","734","","","2024-05-29 07:58:11"
"11622","736","","OTRA FUENTE-15","2024-05-29 07:59:16"
"11623","656","","","2024-05-29 07:59:47"
"11628","16","","30","2024-05-29 08:01:47"
"11630","2133","","","2024-05-29 08:03:24"
"11633","1793","","","2024-05-29 08:04:12"
"11631","1158","","","2024-05-29 08:04:40"
"11632","2525","","","2024-05-29 08:02:33"
"11635","719","","RESIDENTE OCASIONAL-16","2024-05-29 07:54:56"
"11638","1198","","RESIDENTE OCASIONAL-16","2024-05-29 07:55:54"
"11639","513","","","2024-05-29 07:56:03"
"11640","2171","","","2024-05-29 07:56:36"
"11643","1459","","","2024-05-29 07:50:54"
"11645","2518","","","2024-05-29 07:49:36"
"11648","3693","","","2024-05-29 07:43:48"
"11650","2569","","","2024-05-29 07:42:47"
"11652","3426","","","2024-05-29 07:36:21"
"11653","1306","","","2024-05-29 07:33:51"
"11656","5782","","","2024-05-29 07:33:16"
"11678","476","","","2024-05-29 07:14:09"
"11693","2002","","","2024-05-29 08:14:40"
"11410","1434","","","2024-05-29 08:16:49"
"11740","3123","","","2024-05-29 08:18:24"
"11745","1108","","","2024-05-29 08:19:08"
"11756","410","","","2024-05-29 08:25:29"
"11759","248","","","2024-05-29 08:26:25"
"11762","1849","","OTRA FUENTE-15","2024-05-29 08:27:03"
"11770","1321","","","2024-05-29 08:34:36"
"11775","846","","","2024-05-29 08:34:58"
"11787","1687","","","2024-05-29 08:49:49"
"11789","1361","","","2024-05-29 08:52:20"
"11792","4229","","","2024-05-29 08:57:55"
"11794","2406","","","2024-05-29 09:02:46"
"11798","752","","","2024-05-29 09:05:54"
"11796","142","","","2024-05-29 09:07:14"
"11797","82","","RESIDENTE OCASIONAL-16","2024-05-29 09:07:37"
"11793","796","","","2024-05-29 09:09:50"
"11800","705","","","2024-05-29 09:01:14"
"11803","1530","","DESCONECTADO-32","2024-05-29 08:59:00"
"11804","755","","","2024-05-29 08:59:10"
"11805","1424","","","2024-05-29 09:20:07"
"11808","4885","","","2024-05-29 09:20:43"
"11811","402","","","2024-05-29 09:25:12"
"11813","859","","","2024-05-29 09:26:07"
"11816","2735","","","2024-05-29 09:27:33"
"11822","3026","","","2024-05-29 09:28:40"
"11818","644","","","2024-05-29 09:29:32"
"11819","1218","","","2024-05-29 09:31:06"
"11817","239","","","2024-05-29 09:31:51"
"11821","156","","SUSPENDIDO DESOCUPADO-31","2024-05-29 09:33:01"
"11820","1446","","","2024-05-30 09:37:50"
"11826","591","","","2024-05-29 09:37:59"
"11834","2225","","","2024-05-29 09:41:31"
"11835","177","","","2024-05-29 09:44:06"
"11836","459","","","2024-05-29 09:44:27"
"11837","2083","","","2024-05-29 09:47:08"
"11840","1742","","OTRA FUENTE-15","2024-05-29 09:42:33"
"11841","133","","RESIDENTE OCASIONAL-16","2024-05-29 09:40:23"
"11842","4245","","","2024-05-29 09:38:56"
"11848","1429","","","2024-05-29 09:54:54"
"11850","214","","","2024-05-29 09:57:20"
"11851","163","","","2024-05-29 09:58:35"
"11853","486","","","2024-05-29 10:01:53"
"11854","47","","","2024-05-29 10:02:23"
"11855","211","","","2024-05-29 10:03:12"
"11858","48","","","2024-05-29 10:05:21"
"11860","455","","OTRA FUENTE-15","2024-05-29 10:09:44"
"11862","161","","OTRA FUENTE-15","2024-05-29 10:07:53"
"11861","583","","OTRA FUENTE-15","2024-05-29 10:07:09"
"11866","990","","","2024-05-29 10:04:52"
"11869","620","","","2024-05-29 10:03:47"
"11871","3139","","","2024-05-29 10:00:37"
"11874","1531","","SUSPENDIDO DESOCUPADO-31","2024-05-29 09:55:53"
"11875","356","","","2024-05-29 09:53:17"
"11876","9","","OTRA FUENTE-15","2024-05-29 09:52:04"
"11880","1513","","","2024-05-29 09:22:26"
"11930","2138","","","2024-05-29 08:29:51"
"11960","2332","","","2024-05-29 08:24:12"
"11950","1189","","","2024-05-29 08:22:35"
"11965","404","","","2024-05-29 08:21:21"
"11025","2065","","","2024-05-29 10:23:50"
"11030","821","","","2024-05-29 10:24:45"
"11066","1003","","","2024-05-29 10:25:59"
"11340","2621","","","2024-05-29 10:27:04"
"11339","1154","","","2024-05-29 10:27:49"
"11335","1293","","","2024-05-29 10:50:32"
"11070","1488","","","2024-05-29 10:51:29"
"11073","1472","","","2024-05-29 10:53:13"
"11075","1278","","","2024-05-29 10:53:31"
"11080","601","","","2024-05-29 10:54:06"
"11330","399","","OTRA FUENTE-15","2024-05-29 10:54:33"
"11320","402","","30","2024-05-29 10:55:38"
"11100","1503","","","2024-05-29 10:56:56"
"11318","1767","","","2024-05-29 10:57:39"
"11120","508","","","2024-05-29 10:58:10"
"11125","463","","","2024-05-29 10:59:34"
"11130","723","","","2024-05-29 10:59:55"
"11312","1437","","30","2024-05-29 11:00:29"
"11260","2","","","2024-05-29 11:02:05"
"11150","30","","","2024-05-29 11:02:28"
"11234","1406","","30","2024-05-29 11:05:08"
"11232","2","","30","2024-05-29 11:05:23"
"11160","4154","","","2024-05-29 11:06:36"
"11215","1369","","","2024-05-29 11:07:14"
"11230","2035","","","2024-05-29 11:07:37"
"11190","1420","","OTRA FUENTE-15","2024-05-29 11:09:22"
"11200","11","","30","2024-05-29 11:10:38"
"20001","167","","","2024-05-29 11:13:54"
"20004","1278","","30","2024-05-29 11:14:45"
"20010","1065","","","2024-05-29 11:15:57"
"20040","4489","","","2024-05-29 11:16:42"
"20070","1602","","","2024-05-29 11:17:38"
"20100","2037","","","2024-05-29 11:18:06"
"20110","1","","","2024-05-29 11:19:28"
"20130","3683","","","2024-05-29 11:20:27"
"21430","69","","","2024-05-29 11:21:40"
"20134","1352","","","2024-05-29 11:22:34"
"20150","1831","","","2024-05-29 11:24:12"
"20152","1156","","","2024-05-29 11:24:49"
"20153","2220","","","2024-05-29 11:25:06"
"20160","28","","","2024-05-29 11:25:43"
"21400","73","","","2024-05-29 11:27:21"
"21390","361","","","2024-05-29 11:28:15"
"20161","409","","","2024-05-29 11:29:32"
"20163","113","","","2024-05-29 11:30:11"
"20165","160","","","2024-05-29 11:30:23"
"20167","5","","RESIDENTE OCASIONAL-16","2024-05-29 11:30:49"
"20200","1520","","","2024-05-29 11:32:35"
"21360","1587","","RESIDENTE OCASIONAL-16","2024-05-29 11:33:24"
"20230","336","","","2024-05-29 11:33:52"
"21330","1704","","","2024-05-29 11:34:28"
